transaction_id,customer_id,amount,time,location,is_fraud
TRANS_1950,CUST_485,2191.12,4,Online,0
TRANS_149,CUST_490,2708.63,13,Online,0
TRANS_1829,CUST_153,880.23,6,Loja Física,0
TRANS_78,CUST_428,3481.62,0,Loja Física,0
TRANS_824,CUST_221,4595.04,23,Online,1
TRANS_367,CUST_37,1247.33,8,Online,1
TRANS_1798,CUST_9,2146.37,3,Online,0
TRANS_1140,CUST_374,3433.2,16,Online,0
TRANS_1397,CUST_35,4779.81,22,Loja Física,0
TRANS_1851,CUST_401,4275.88,23,Online,1
TRANS_824,CUST_221,4595.04,23,Online,1
TRANS_1332,CUST_300,1478.73,13,Online,0
TRANS_1152,CUST_93,170.78,16,Loja Física,1
TRANS_916,CUST_203,2203.79,11,Online,0
TRANS_1710,CUST_443,1831.58,12,Loja Física,1
TRANS_590,CUST_147,2328.7,11,Online,0
TRANS_1245,CUST_126,3005.25,6,Online,0
TRANS_1844,CUST_98,3902.93,3,Loja Física,0
TRANS_168,CUST_475,3749.51,21,Loja Física,1
TRANS_1753,CUST_36,3966.75,2,Loja Física,1
TRANS_3,CUST_349,607.23,23,Loja Física,1
TRANS_394,CUST_99,4933.22,16,Online,0
TRANS_1489,CUST_294,3614.92,23,Online,1
TRANS_188,CUST_380,3274.28,3,Online,0
TRANS_1514,CUST_282,447.58,7,Online,1
TRANS_918,CUST_229,1644.32,10,Loja Física,0
TRANS_924,CUST_402,4991.75,0,Online,1
TRANS_1746,CUST_161,224.28,5,Loja Física,1
TRANS_207,CUST_13,2368.68,4,Online,0
TRANS_15,CUST_88,3081.24,8,Loja Física,0
TRANS_1995,CUST_402,1872.74,5,Online,1
TRANS_568,CUST_60,432.86,20,Loja Física,1
TRANS_1152,CUST_93,170.78,16,Loja Física,1
TRANS_576,CUST_480,342.72,10,Loja Física,0
TRANS_1544,CUST_492,1134.01,15,Loja Física,0
TRANS_571,CUST_5,1620.24,3,Online,1
TRANS_1953,CUST_198,4086.56,9,Online,1
TRANS_258,CUST_160,170.85,11,Online,0
TRANS_192,CUST_352,2164.51,21,Loja Física,0
TRANS_375,CUST_131,2375.78,14,Loja Física,1
TRANS_1899,CUST_365,1969.01,21,Online,1
TRANS_880,CUST_141,1531.49,16,Online,1
TRANS_1120,CUST_472,1679.36,20,Loja Física,1
TRANS_1014,CUST_105,4301.4,23,Loja Física,1
TRANS_347,CUST_434,2576.51,16,Online,0
TRANS_1658,CUST_158,2466.86,21,Loja Física,0
TRANS_581,CUST_311,3256.13,23,Online,1
TRANS_581,CUST_311,3256.13,23,Online,1
TRANS_134,CUST_344,808.0,17,Online,1
TRANS_802,CUST_396,2914.2,17,Loja Física,0
TRANS_1721,CUST_495,3372.28,7,Loja Física,1
TRANS_1648,CUST_224,562.0,13,Loja Física,1
TRANS_1195,CUST_292,2346.5,14,Online,0
TRANS_1645,CUST_49,1440.61,2,Loja Física,0
TRANS_880,CUST_141,1531.49,16,Online,1
TRANS_110,CUST_252,4124.28,23,Online,1
TRANS_891,CUST_423,21.08,17,Online,0
TRANS_82,CUST_206,1122.97,6,Online,1
TRANS_134,CUST_344,808.0,17,Online,1
TRANS_1112,CUST_285,3552.66,11,Online,0
TRANS_1204,CUST_127,3340.68,15,Online,1
TRANS_50,CUST_446,3932.79,1,Loja Física,0
TRANS_307,CUST_325,3402.74,23,Online,1
TRANS_202,CUST_237,1069.46,0,Online,0
TRANS_340,CUST_338,4857.12,16,Online,0
TRANS_1482,CUST_322,2244.35,16,Loja Física,0
TRANS_1891,CUST_239,3564.54,4,Loja Física,0
TRANS_375,CUST_131,2375.78,14,Loja Física,1
TRANS_156,CUST_268,3440.99,13,Online,0
TRANS_1874,CUST_113,2614.94,1,Online,0
TRANS_684,CUST_258,295.53,19,Online,0
TRANS_330,CUST_147,4562.25,12,Online,0
TRANS_286,CUST_225,2634.38,16,Loja Física,0
TRANS_640,CUST_462,1906.21,11,Online,0
TRANS_127,CUST_157,4404.95,13,Online,1
TRANS_1887,CUST_312,4242.88,7,Loja Física,0
TRANS_155,CUST_328,4686.46,23,Online,1
TRANS_1481,CUST_86,4417.91,23,Online,1
TRANS_1282,CUST_229,2470.27,10,Online,0
TRANS_161,CUST_62,2912.94,16,Online,0
TRANS_1324,CUST_441,3621.25,15,Online,1
TRANS_1753,CUST_36,3966.75,2,Loja Física,1
TRANS_1995,CUST_402,1872.74,5,Online,1
TRANS_1242,CUST_231,2440.9,23,Online,1
TRANS_834,CUST_401,4923.43,7,Online,1
TRANS_925,CUST_47,4665.9,12,Online,0
TRANS_636,CUST_485,1046.51,0,Online,1
TRANS_1324,CUST_441,3621.25,15,Online,1
TRANS_1747,CUST_151,832.92,13,Online,0
TRANS_1301,CUST_247,302.33,12,Online,0
TRANS_271,CUST_387,4681.38,15,Online,0
TRANS_127,CUST_157,4404.95,13,Online,1
TRANS_1010,CUST_177,4253.83,14,Loja Física,0
TRANS_1851,CUST_401,4275.88,23,Online,1
TRANS_1673,CUST_194,89.65,10,Online,1
TRANS_1702,CUST_349,293.93,3,Online,1
TRANS_299,CUST_439,2493.49,13,Online,0
TRANS_1361,CUST_261,838.47,5,Online,0
TRANS_824,CUST_221,4595.04,23,Online,1
TRANS_307,CUST_325,3402.74,23,Online,1
TRANS_320,CUST_464,4335.82,0,Online,0
TRANS_432,CUST_230,537.43,2,Online,1
TRANS_1028,CUST_437,3256.61,2,Online,0
TRANS_95,CUST_191,2756.53,15,Online,1
TRANS_1014,CUST_105,4301.4,23,Loja Física,1
TRANS_110,CUST_252,4124.28,23,Online,1
TRANS_1455,CUST_67,4905.03,4,Online,0
TRANS_985,CUST_409,2058.42,16,Online,0
TRANS_224,CUST_340,3429.4,23,Online,1
TRANS_1674,CUST_476,3851.94,21,Loja Física,0
TRANS_354,CUST_252,3285.4,15,Online,1
TRANS_354,CUST_252,3285.4,15,Online,1
TRANS_1653,CUST_379,1898.57,19,Loja Física,0
TRANS_1649,CUST_141,2581.73,21,Online,1
TRANS_29,CUST_192,3139.39,1,Online,1
TRANS_1673,CUST_194,89.65,10,Online,1
TRANS_193,CUST_231,4718.36,23,Online,1
TRANS_1746,CUST_161,224.28,5,Loja Física,1
TRANS_3,CUST_349,607.23,23,Loja Física,1
TRANS_65,CUST_89,886.76,18,Online,0
TRANS_85,CUST_50,2902.53,3,Online,0
TRANS_537,CUST_471,482.2,2,Loja Física,0
TRANS_945,CUST_358,4703.69,5,Online,0
TRANS_367,CUST_37,1247.33,8,Online,1
TRANS_446,CUST_481,4040.19,4,Online,0
TRANS_1649,CUST_141,2581.73,21,Online,1
TRANS_606,CUST_396,1999.58,22,Online,0
TRANS_861,CUST_301,2010.46,21,Online,0
TRANS_497,CUST_288,1539.91,23,Online,0
TRANS_1856,CUST_122,2537.07,10,Loja Física,0
TRANS_3,CUST_349,607.23,23,Loja Física,1
TRANS_1995,CUST_402,1872.74,5,Online,1
TRANS_127,CUST_157,4404.95,13,Online,1
TRANS_1715,CUST_239,3907.7,12,Online,0
TRANS_1328,CUST_392,2672.17,9,Online,1
TRANS_1792,CUST_224,3173.65,17,Loja Física,1
TRANS_138,CUST_472,36.9,15,Online,0
TRANS_335,CUST_489,662.18,23,Loja Física,0
TRANS_603,CUST_279,3978.27,21,Online,0
TRANS_326,CUST_420,4504.01,0,Loja Física,0
TRANS_151,CUST_41,1712.65,9,Online,1
TRANS_996,CUST_374,3655.45,9,Loja Física,1
TRANS_760,CUST_190,755.09,22,Online,0
TRANS_1654,CUST_440,1690.04,2,Loja Física,0
TRANS_1014,CUST_105,4301.4,23,Loja Física,1
TRANS_375,CUST_131,2375.78,14,Loja Física,1
TRANS_49,CUST_175,4750.06,20,Loja Física,0
TRANS_55,CUST_320,2339.67,9,Online,1
TRANS_1539,CUST_111,4646.49,21,Online,0
TRANS_1968,CUST_16,1453.78,5,Online,0
TRANS_882,CUST_220,4981.69,22,Loja Física,0
TRANS_1286,CUST_150,1377.28,16,Online,1
TRANS_148,CUST_261,3806.33,23,Online,1
TRANS_547,CUST_153,3211.65,20,Loja Física,0
TRANS_416,CUST_392,3464.67,1,Loja Física,0
TRANS_35,CUST_22,3689.22,22,Online,0
TRANS_1291,CUST_4,3571.59,23,Loja Física,1
TRANS_222,CUST_108,590.95,3,Online,0
TRANS_1667,CUST_18,1562.76,22,Loja Física,0
TRANS_752,CUST_496,2310.08,5,Loja Física,0
TRANS_519,CUST_355,3167.59,23,Loja Física,1
TRANS_1860,CUST_310,1664.29,2,Online,1
TRANS_70,CUST_346,293.92,18,Online,0
TRANS_1444,CUST_495,2669.27,18,Online,0
TRANS_396,CUST_349,29.68,17,Loja Física,0
TRANS_1349,CUST_38,3992.91,11,Loja Física,0
TRANS_776,CUST_368,3308.55,11,Online,0
TRANS_1846,CUST_237,2490.21,6,Online,0
TRANS_571,CUST_5,1620.24,3,Online,1
TRANS_95,CUST_191,2756.53,15,Online,1
TRANS_174,CUST_462,2445.77,1,Loja Física,0
TRANS_1673,CUST_194,89.65,10,Online,1
TRANS_1648,CUST_224,562.0,13,Loja Física,1
TRANS_1096,CUST_347,3175.18,4,Online,1
TRANS_211,CUST_243,3884.1,17,Loja Física,0
TRANS_837,CUST_7,828.25,5,Online,0
TRANS_1702,CUST_349,293.93,3,Online,1
TRANS_307,CUST_325,3402.74,23,Online,1
TRANS_1003,CUST_341,4860.17,23,Loja Física,1
TRANS_863,CUST_292,1024.16,0,Loja Física,0
TRANS_310,CUST_198,1292.13,8,Online,0
TRANS_184,CUST_207,3469.94,1,Online,0
TRANS_193,CUST_231,4718.36,23,Online,1
TRANS_82,CUST_206,1122.97,6,Online,1
TRANS_1899,CUST_365,1969.01,21,Online,1
TRANS_1952,CUST_464,3525.83,4,Loja Física,0
TRANS_526,CUST_313,3056.85,1,Online,0
TRANS_375,CUST_131,2375.78,14,Loja Física,1
TRANS_1882,CUST_111,3648.08,22,Online,0
TRANS_1999,CUST_273,3163.25,23,Online,1
TRANS_127,CUST_157,4404.95,13,Online,1
TRANS_1258,CUST_111,2412.8,12,Online,0
TRANS_1181,CUST_282,4025.51,5,Loja Física,0
TRANS_431,CUST_38,3257.91,16,Online,1
TRANS_711,CUST_397,3669.4,17,Online,1
TRANS_1974,CUST_86,2860.87,22,Online,0
TRANS_55,CUST_320,2339.67,9,Online,1
TRANS_367,CUST_37,1247.33,8,Online,1
TRANS_213,CUST_284,4224.69,2,Loja Física,0
TRANS_224,CUST_340,3429.4,23,Online,1
TRANS_1206,CUST_214,4462.05,7,Online,0
TRANS_1226,CUST_239,2589.64,3,Online,0
TRANS_1748,CUST_85,2230.48,19,Loja Física,0
TRANS_34,CUST_314,2109.68,10,Online,0
TRANS_1218,CUST_312,2996.9,4,Online,0
TRANS_55,CUST_320,2339.67,9,Online,1
TRANS_731,CUST_391,4222.56,23,Online,1
TRANS_571,CUST_5,1620.24,3,Online,1
TRANS_127,CUST_157,4404.95,13,Online,1
TRANS_1579,CUST_438,318.13,20,Loja Física,1
TRANS_996,CUST_374,3655.45,9,Loja Física,1
TRANS_1769,CUST_20,954.59,18,Online,1
TRANS_904,CUST_134,3383.96,19,Online,1
TRANS_1064,CUST_268,1439.25,5,Online,1
TRANS_1620,CUST_198,1048.37,15,Loja Física,0
TRANS_756,CUST_487,3185.17,23,Loja Física,1
TRANS_432,CUST_230,537.43,2,Online,1
TRANS_73,CUST_340,4639.12,23,Online,1
TRANS_1014,CUST_105,4301.4,23,Loja Física,1
TRANS_439,CUST_226,3913.02,16,Loja Física,0
TRANS_1152,CUST_93,170.78,16,Loja Física,1
TRANS_1514,CUST_282,447.58,7,Online,1
TRANS_1939,CUST_303,2483.81,20,Online,0
TRANS_1481,CUST_86,4417.91,23,Online,1
TRANS_1755,CUST_188,1213.68,7,Online,0
TRANS_725,CUST_410,4008.68,23,Online,1
TRANS_959,CUST_28,3648.89,23,Loja Física,1
TRANS_1130,CUST_240,3257.48,7,Online,0
TRANS_519,CUST_355,3167.59,23,Loja Física,1
TRANS_520,CUST_306,4757.26,7,Online,1
TRANS_1199,CUST_355,1503.1,2,Online,0
TRANS_1003,CUST_341,4860.17,23,Loja Física,1
TRANS_697,CUST_417,4983.5,22,Online,0
TRANS_168,CUST_475,3749.51,21,Loja Física,1
TRANS_89,CUST_390,651.93,3,Online,0
TRANS_854,CUST_365,804.56,9,Online,0
TRANS_316,CUST_201,1732.95,9,Online,0
TRANS_1263,CUST_111,2585.28,13,Online,0
TRANS_1009,CUST_283,1258.58,8,Online,0
TRANS_1898,CUST_446,3772.47,11,Online,0
TRANS_1309,CUST_223,2097.64,17,Online,1
TRANS_676,CUST_257,3205.93,23,Online,1
TRANS_1851,CUST_401,4275.88,23,Online,1
TRANS_151,CUST_41,1712.65,9,Online,1
TRANS_358,CUST_500,4849.26,23,Loja Física,1
TRANS_738,CUST_376,1882.56,4,Loja Física,0
TRANS_1896,CUST_491,4034.43,9,Online,0
TRANS_1215,CUST_154,2609.62,12,Loja Física,0
TRANS_387,CUST_422,614.94,5,Online,1
TRANS_880,CUST_141,1531.49,16,Online,1
TRANS_834,CUST_401,4923.43,7,Online,1
TRANS_904,CUST_134,3383.96,19,Online,1
TRANS_991,CUST_251,2803.04,2,Online,1
TRANS_1291,CUST_4,3571.59,23,Loja Física,1
TRANS_713,CUST_95,60.1,23,Online,0
TRANS_919,CUST_164,2172.93,1,Online,1
TRANS_1439,CUST_143,2717.41,14,Loja Física,0
TRANS_432,CUST_230,537.43,2,Online,1
TRANS_636,CUST_485,1046.51,0,Online,1
TRANS_834,CUST_401,4923.43,7,Online,1
TRANS_1014,CUST_105,4301.4,23,Loja Física,1
TRANS_1139,CUST_459,1628.89,14,Online,0
TRANS_1316,CUST_335,3394.96,14,Online,0
TRANS_193,CUST_231,4718.36,23,Online,1
TRANS_1999,CUST_273,3163.25,23,Online,1
TRANS_277,CUST_187,4009.63,20,Online,0
TRANS_5,CUST_107,3482.96,23,Online,1
TRANS_1677,CUST_222,1331.59,19,Online,0
TRANS_520,CUST_306,4757.26,7,Online,1
TRANS_1328,CUST_392,2672.17,9,Online,1
TRANS_924,CUST_402,4991.75,0,Online,1
TRANS_1137,CUST_336,635.69,9,Online,0
TRANS_1514,CUST_282,447.58,7,Online,1
TRANS_1106,CUST_30,401.64,15,Loja Física,0
TRANS_1481,CUST_86,4417.91,23,Online,1
TRANS_442,CUST_97,4393.19,2,Online,0
TRANS_846,CUST_194,2953.79,8,Online,0
TRANS_1370,CUST_321,1706.32,3,Loja Física,0
TRANS_1721,CUST_495,3372.28,7,Loja Física,1
TRANS_1122,CUST_34,3561.51,14,Loja Física,0
TRANS_634,CUST_144,4960.83,17,Online,0
TRANS_3,CUST_349,607.23,23,Loja Física,1
TRANS_170,CUST_449,3792.52,8,Online,0
TRANS_1673,CUST_194,89.65,10,Online,1
TRANS_1489,CUST_294,3614.92,23,Online,1
TRANS_358,CUST_500,4849.26,23,Loja Física,1
TRANS_114,CUST_208,1338.81,9,Online,0
TRANS_719,CUST_35,689.86,2,Loja Física,0
TRANS_259,CUST_96,397.5,22,Online,0
TRANS_478,CUST_253,3041.49,5,Loja Física,1
TRANS_471,CUST_181,2398.51,18,Online,1
TRANS_1299,CUST_311,260.42,22,Online,0
TRANS_1866,CUST_371,2697.78,15,Online,1
TRANS_1907,CUST_296,2920.95,10,Loja Física,0
TRANS_148,CUST_261,3806.33,23,Online,1
